city_name coord_x coord_y
WY 41.14546425526879 -104.80201186111333
CO 39.739211499999996 -104.98484674529767
NM 35.6670751817892 -105.96453149172044
AZ 33.44855765 -112.07420167586159
NV 39.161234 -119.753872
CA 38.55569601444581 -121.46890163823856
OR 44.9306637 -123.0288265
WA 47.0425125 -122.89348614086956
ID 43.6135868 -116.2377539
UT 40.75420465017457 -111.89260946223378
MT 46.596383599999996 -112.02626086911475
ND 46.812947449999996 -100.77991370464116
SD 44.36828855 -100.33654293264094
MN 44.950255521426044 -93.09419061832041
IA 41.59077275 -93.62059095986798
NE 40.809838549999995 -96.6753363
KS 39.0391409 -95.6895933
MO 38.57242446383096 -92.19009262620875
IL 39.78327725 -89.65010509978345
WI 43.0746914 -89.38416428214302
MI 42.7333846 -84.5470622
VT 44.26636455 -72.57209481038217
ME 44.32338482931033 -69.76535702706502
NH 43.22004 -71.54906
MA 42.2352208 -71.02757129061843
RI 41.82343675 -71.42199967161987
CT 41.7668901 -72.67661190546941
NY 42.65996665 -73.7813788
NJ 40.221611249999995 -74.75616918277305
PA 40.27040064431618 -76.87570645771861
DE 39.1635704 -75.52850148097592
MD 38.972918899999996 -76.50131755084203
VA 37.540265 -77.460027
NC 35.770768849999996 -78.63697923267378
WV 38.3497148 -81.63315216268595
OH 39.9614037 -82.9991230938098
IN 39.791214249999996 -86.14771800973206
KY 38.198151125 -84.8632448125
SC 33.9998741 -81.0350946
FL 30.4517544 -84.27270627828709
AL 32.36120185714286 -86.27910410204082
GA 33.7603244 -84.38981171032529
TN 36.16503491304348 -86.78401991304348
MS 32.320062 -90.206946
LA 30.458116796738114 -91.13945497143273
AR 34.7363816 -92.3310577
TX 30.266692050000003 -97.74998112115182
OK 35.482623 -97.534299
